0,0
1,96
2,2
3,76
4,47
5,72
6,54
7,65
8,91
9,94
10,52
11,41
12,33
13,11
14,18
15,48
16,3
17,52
18,44
19,73
20,24
21,16
22,54
23,19
24,20
25,21
26,0
27,46
28,32
29,12
30,6
31,78
32,36
33,93
34,16
35,25
36,89
37,32
38,10
39,61
40,66
41,44
42,32
43,98
44,71
45,44
46,56
47,44
48,18
49,61
50,69
51,86
52,33
53,34
54,72
55,74
56,71
57,34
58,73
59,69
60,82
61,90
62,64
63,93
64,95
65,82
66,28
67,2
68,55
69,14
70,28
71,7
72,64
73,51
74,33
75,21
1,53
2,2
3,36
4,38
5,22
6,31
7,21
8,41
9,90
10,26
11,14
12,85
13,94
14,57
15,33
16,53
17,21
18,27
19,21
20,4
21,64
22,26
23,47
24,1
25,55
26,9
27,6
28,3
29,8
30,42
31,69
32,96
33,2
34,90
35,16
36,12
37,4
38,7
39,47
40,82
41,76
42,57
43,18
44,41
45,28
46,98
47,76
48,49
49,11
50,26
51,50
52,41
53,97
54,8
55,41
56,87
57,44
58,33
59,61
60,29
61,90
62,6
63,76
64,72
65,21
66,45
67,4
68,16
69,28
70,62
71,85
72,87
73,34
74,55
75,26
76,25
77,71
78,2
79,55
80,100
81,33
82,17
83,48
84,64
85,12
86,6
87,92
88,5
89,49
90,50
91,86
92,62
93,17
94,45
95,59
96,80
97,60
98,53
99,74
100,53
101,90
102,65
103,68
104,17
105,86
106,96
107,92
108,66
109,84
110,65
111,64
112,37
113,24
114,32
115,60
116,39
117,2
118,26
119,3
120,41
121,72
122,79
123,23
124,78
125,11
126,74
127,85
128,35
129,42
130,23
131,81
132,51
133,31
134,34
135,66
136,12
137,94
138,94
139,0
140,51
141,77
142,31
143,57
144,28
145,72
146,9
147,25
148,24
149,55
150,21
151,84
152,41
153,67
154,32
155,64
156,84
157,75
158,56
159,91
160,15
161,43
162,63
163,0
164,62
165,80
166,68
167,49
168,79
169,27
170,35
171,100
172,71
173,76
174,71
175,30
176,21
177,57
178,8
179,15
180,83
181,12
182,94
183,46
184,97
185,93
